model,context_window,field_used
llama3.2:3b-instruct-fp16,131072,model_info.llama.context_length
llama3.2:3b-instruct-q4_K_M,131072,model_info.llama.context_length
MedAIBase/MedGemma1.5:4b,131072,model_info.gemma3.context_length
phi4-mini:3.8b,131072,model_info.phi3.context_length
phi3.5:3.8b,131072,model_info.phi3.context_length
llama3.1:8b,131072,model_info.llama.context_length
llama3.1:8b-instruct-q4_K_M,131072,model_info.llama.context_length
qwen3:8b-q4_K_M,40960,model_info.qwen3.context_length
ministral-3:14b-instruct-2512-q4_K_M,262144,model_info.mistral3.context_length
mistral-nemo:12b,1024000,model_info.llama.context_length
mistral-nemo:12b-instruct-2407-q3_K_M,1024000,model_info.llama.context_length
gemma3:12b,131072,model_info.gemma3.context_length
qwen3:14b-q4_K_M,40960,model_info.qwen3.context_length
mistral-small3.1:24b,131072,model_info.mistral3.context_length
gemma3:27b-it-qat,131072,model_info.gemma3.context_length
gemma3:27b-it-q4_K_M,131072,model_info.gemma3.context_length
qwen3:30b-a3b-q4_K_M,40960,model_info.qwen3moe.context_length
nemotron-3-nano:30b,1048576,model_info.nemotron_h_moe.context_length
llama3.3:70b-instruct-q2_K,131072,model_info.llama.context_length
llama3.1:70b-instruct-q2_k,131072,model_info.llama.context_length
llama3.1:70b,131072,model_info.llama.context_length
nemotron:70b-instruct-q3_K_M,131072,model_info.llama.context_length
nemotron:70b-instruct-q2_K,131072,model_info.llama.context_length
